Type,Value,Cost,INSTOCK
"1%, 1/4W",9.1,$0.10 ,TRUE
"1%, 1/4W",10,$0.10 ,TRUE
"1%, 1/4W",10.5,$0.10 ,TRUE
"1%, 1/4W",10.7,$0.10 ,TRUE
"1%, 1/4W",14.3,$0.10 ,TRUE
"1%, 1/4W",14.7,$0.10 ,TRUE
"1%, 1/4W",16.5,$0.10 ,TRUE
"1%, 1/4W",19.1,$0.10 ,TRUE
"1%, 1/4W",20,$0.10 ,TRUE
"1%, 1/4W",21,$0.10 ,TRUE
"1%, 1/4W",24.9,$0.10 ,TRUE
"1%, 1/4W",27.4,$0.10 ,TRUE
"1%, 1/4W",28.7,$0.10 ,TRUE
"1%, 1/4W",29.4,$0.10 ,TRUE
"1%, 1/4W",30.1,$0.10 ,TRUE
"1%, 1/4W",34.8,$0.10 ,TRUE
"1%, 1/4W",36.5,$0.10 ,TRUE
"1%, 1/4W",40.2,$0.10 ,TRUE
"1%, 1/4W",41.2,$0.10 ,TRUE
"1%, 1/4W",47,$0.10 ,TRUE
"1%, 1/4W",47.5,$0.10 ,TRUE
"1%, 1/4W",48.7,$0.10 ,TRUE
"1%, 1/4W",49.9,$0.10 ,TRUE
"1%, 1/4W",51.1,$0.10 ,TRUE
"1%, 1/4W",57.6,$0.10 ,TRUE
"1%, 1/4W",59,$0.10 ,TRUE
"1%, 1/4W",63,$0.10 ,TRUE
"1%, 1/4W",64.9,$0.10 ,TRUE
"1%, 1/4W",68.1,$0.10 ,TRUE
"1%, 1/4W",71.5,$0.10 ,TRUE
"1%, 1/4W",73.2,$0.10 ,TRUE
"1%, 1/4W",75,$0.10 ,TRUE
"1%, 1/4W",76.8,$0.10 ,TRUE
"1%, 1/4W",82.5,$0.10 ,TRUE
"1%, 1/4W",95.3,$0.10 ,TRUE
"1%, 1/4W",100,$0.10 ,TRUE
"1%, 1/4W",105,$0.10 ,TRUE
"1%, 1/4W",107,$0.10 ,TRUE
"1%, 1/4W",110,$0.10 ,TRUE
"1%, 1/4W",150,$0.10 ,TRUE
"1%, 1/4W",158,$0.10 ,TRUE
"1%, 1/4W",174,$0.10 ,TRUE
"1%, 1/4W",180,$0.10 ,TRUE
"1%, 1/4W",205,$0.10 ,TRUE
"1%, 1/4W",210,$0.10 ,TRUE
"1%, 1/4W",215,$0.10 ,TRUE
"1%, 1/4W",220,$0.10 ,TRUE
"1%, 1/4W",237,$0.10 ,TRUE
"1%, 1/4W",243,$0.10 ,TRUE
"1%, 1/4W",249,$0.10 ,TRUE
"1%, 1/4W",255,$0.10 ,TRUE
"1%, 1/4W",261,$0.10 ,TRUE
"1%, 1/4W",280,$0.10 ,TRUE
"1%, 1/4W",294,$0.10 ,TRUE
"1%, 1/4W",324,$0.10 ,TRUE
"1%, 1/4W",332,$0.10 ,TRUE
"1%, 1/4W",340,$0.10 ,TRUE
